"","dta_inc_pedido","pk_pedido","fk_produto_unificado","qtd_itens","total","desc_cidade","uf_estado"
"406","2021-10-28",426031,435716,10,11.7,"ARCOVERDE","PE"
"407","2021-10-28",426031,435716,10,11.7,"ARCOVERDE","PE"
"408","2021-10-28",426031,435716,10,11.7,"ARCOVERDE","PE"
"409","2021-10-28",426031,435698,12,28.32,"ARCOVERDE","PE"
"410","2021-10-28",426031,435698,12,28.32,"ARCOVERDE","PE"
"411","2021-10-28",426031,435698,12,28.32,"ARCOVERDE","PE"
"412","2021-10-28",426031,435698,12,28.32,"ARCOVERDE","PE"
"413","2021-10-28",426031,435698,12,28.32,"ARCOVERDE","PE"
"414","2021-11-19",430981,435722,40,52,"DOM ELISEU","PA"
"415","2021-11-30",433441,435716,10,13,"DOM ELISEU","PA"
"416","2022-01-08",439528,435698,14,30.8,"ALTA FLORESTA","MT"
"417","2022-02-16",446608,435725,100,105,"IGUABA GRANDE","RJ"
